serious_assault_result_injury, dang_negli_acts, assault_police, prop_dam_by_fire_expl, POSTCODE, theft_from_motor_veh, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, murder, other_acts_intend_cause_injury, serious_assault_not_result_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_hom_rel_offences, other_fraud_decep_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
7,0,0,6,"5113",8,0,2,0,1004,1,25,17,20,1,0,0,8,1,3,7,2,0,2,"Apr 2019",190,8,39,0,33
9,0,2,6,"5114",26,0,1,0,1016,2,14,14,35,0,0,2,4,7,3,11,0,0,2,"Apr 2019",227,6,53,0,30
2,2,0,2,"5115",7,0,1,0,1028,1,3,7,8,0,0,0,7,1,4,5,0,0,0,"Apr 2019",86,3,18,0,15
0,0,4,1,"5116",1,0,0,0,1040,3,3,3,14,0,0,0,1,2,0,6,0,0,0,"Apr 2019",51,1,5,0,7
1,1,0,2,"5012",24,0,1,1,105,1,12,5,9,0,0,0,6,1,2,1,1,0,0,"Apr 2019",93,0,9,0,16
0,0,0,0,"5117",0,0,0,0,1052,0,0,0,10,0,0,0,1,1,0,1,0,0,1,"Apr 2019",22,0,7,0,1
6,1,1,0,"5118",17,0,2,1,1064,3,12,9,7,1,0,0,6,3,7,4,0,0,1,"Apr 2019",118,5,14,0,18
0,0,0,0,"5120",1,0,0,0,1076,0,1,0,0,0,0,0,1,0,0,2,0,0,0,"Apr 2019",9,0,3,0,1
0,0,0,1,"5121",0,0,0,0,1088,0,1,1,2,0,0,0,0,0,0,2,0,0,0,"Apr 2019",11,1,2,0,1
0,0,0,0,"5125",3,0,0,0,1100,0,4,5,5,1,0,0,3,4,2,2,1,0,0,"Apr 2019",43,1,11,0,1
3,0,0,0,"5126",1,0,1,0,1112,0,0,0,0,0,0,0,2,1,0,1,0,0,0,"Apr 2019",22,0,4,0,9
