SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"NORTH HAVEN",0,0,0,0,0,0,"5018",0,0,0,1005,0,0,0,1,0,0,501801,0,1,0,0,0,1,1,0,0,0,"Apr 2020",15,1,7,0,3
"EXETER",0,0,0,0,2,0,"5019",0,0,0,1018,0,2,0,0,0,0,501901,0,2,0,0,0,0,0,0,0,0,"Apr 2020",8,0,0,0,2
"SEMAPHORE",0,0,0,0,3,1,"5019",0,0,1,1030,0,0,2,0,1,0,501902,0,2,0,0,0,2,0,0,0,0,"Apr 2020",21,1,1,0,7
"SEMAPHORE PARK",0,2,0,0,1,0,"5019",0,0,0,1042,0,0,1,0,0,0,501903,0,1,0,0,0,0,2,1,0,0,"Apr 2020",20,1,4,0,7
"SEMAPHORE SOUTH",0,2,0,0,0,0,"5019",0,0,0,1054,0,0,0,0,0,0,501904,0,0,0,0,0,0,1,0,0,0,"Apr 2020",5,1,1,0,0
"WEST LAKES SHORE",0,1,0,0,3,0,"5020",0,0,0,1066,0,0,1,0,0,0,502001,0,0,0,0,0,0,1,0,0,0,"Apr 2020",7,0,0,0,1
"DUDLEY PARK",0,0,0,0,0,0,"5008",0,0,0,107,0,0,0,1,0,0,500804,0,0,0,0,0,0,0,0,0,0,"Apr 2020",1,0,0,0,0
"WEST LAKES",0,0,1,0,1,0,"5021",0,0,0,1078,0,0,1,3,11,0,502101,0,2,0,0,0,3,0,0,0,0,"Apr 2020",34,0,6,1,5
"GRANGE",0,0,0,0,1,0,"5022",0,3,0,1090,0,1,2,1,1,0,502201,0,2,0,0,0,0,0,0,0,0,"Apr 2020",12,0,1,0,0
"HENLEY BEACH",0,0,0,0,4,0,"5022",0,0,0,1102,0,0,0,0,2,0,502202,0,1,0,0,0,0,0,0,0,0,"Apr 2020",18,0,8,0,3
"HENLEY BEACH SOUTH",0,0,0,0,1,0,"5022",0,0,0,1114,0,0,1,0,0,0,502203,0,0,0,0,0,1,0,0,0,0,"Apr 2020",4,0,0,0,1
"TENNYSON",0,0,0,0,0,0,"5022",0,0,0,1124,0,0,2,0,0,0,502204,0,0,0,0,0,0,1,0,0,0,"Apr 2020",4,0,1,0,0
"FINDON",0,0,0,0,3,0,"5023",0,0,0,1136,0,0,3,0,2,0,502301,0,1,0,0,1,2,1,0,0,0,"Apr 2020",22,0,3,0,6
