SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"NORTH HAVEN",0,0,1,0,5,0,"5018",0,1,0,1001,0,0,3,0,1,0,501801,0,2,0,0,0,1,0,0,0,0,"Aug 2019",25,2,4,0,5
"OUTER HARBOR",0,0,0,0,0,0,"5018",0,0,0,1009,0,0,0,0,0,0,501802,0,0,0,0,0,0,0,0,0,0,"Aug 2019",1,1,0,0,0
"EXETER",0,1,0,0,1,0,"5019",0,0,0,1014,0,0,0,0,0,0,501901,0,0,0,0,0,1,0,0,0,0,"Aug 2019",9,2,2,0,2
"SEMAPHORE",0,0,0,0,1,0,"5019",0,0,1,1026,0,0,3,1,2,0,501902,0,3,0,0,0,0,1,0,0,0,"Aug 2019",16,0,2,0,2
"SEMAPHORE PARK",0,2,0,0,1,0,"5019",0,0,0,1038,0,0,9,0,0,0,501903,0,3,0,0,0,0,0,0,0,0,"Aug 2019",31,3,6,0,7
"DUDLEY PARK",0,1,0,0,1,0,"5008",0,0,0,104,0,0,0,1,0,0,500804,0,0,0,0,0,0,0,0,0,0,"Aug 2019",7,1,2,0,1
"SEMAPHORE SOUTH",0,0,0,0,2,0,"5019",0,0,0,1050,0,0,1,0,0,0,501904,0,0,0,0,0,0,0,0,0,0,"Aug 2019",5,0,2,0,0
"WEST LAKES SHORE",0,0,0,0,2,0,"5020",0,0,0,1062,0,0,0,0,0,0,502001,0,0,0,0,1,0,0,0,0,0,"Aug 2019",4,1,0,0,0
"WEST LAKES",0,0,0,1,6,0,"5021",0,2,0,1074,0,0,2,2,31,0,502101,0,0,0,0,4,1,1,0,0,0,"Aug 2019",67,1,13,0,3
"GRANGE",0,0,0,0,5,0,"5022",0,0,0,1086,0,0,4,0,0,0,502201,0,2,0,0,1,2,1,0,0,0,"Aug 2019",22,0,6,0,1
"HENLEY BEACH",0,0,0,0,3,0,"5022",0,0,0,1098,0,0,3,2,1,0,502202,0,2,0,0,1,0,0,2,0,0,"Aug 2019",19,0,3,0,2
"HENLEY BEACH SOUTH",0,0,0,0,0,0,"5022",0,1,0,1110,0,0,1,0,0,0,502203,0,0,0,0,0,0,0,0,0,0,"Aug 2019",4,0,0,0,2
"TENNYSON",0,0,0,0,2,0,"5022",0,1,0,1122,0,0,0,0,0,0,502204,0,1,0,0,0,1,0,0,0,0,"Aug 2019",5,0,0,0,0
"FINDON",0,0,2,1,11,0,"5023",0,3,0,1132,0,0,4,3,4,3,502301,0,1,0,0,1,0,1,1,0,0,"Aug 2019",48,0,5,0,8
