SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"WELLAND",0,0,0,0,5,0,"5007",0,0,0,1,0,0,0,0,1,0,500704,0,0,0,0,0,0,0,0,0,0,"Dec 2019",8,0,1,0,1
"DUDLEY PARK",0,0,0,0,1,0,"5008",0,0,0,100,0,0,1,0,0,0,500804,0,1,0,0,0,0,0,0,0,0,"Dec 2019",9,0,0,0,6
"EXETER",0,1,0,0,2,1,"5019",0,0,1,1010,0,0,0,1,2,1,501901,0,0,0,0,0,0,1,0,1,0,"Dec 2019",16,1,3,0,1
"SEMAPHORE",0,1,0,0,3,0,"5019",0,0,0,1022,0,0,1,1,2,0,501902,0,1,0,0,1,0,0,0,0,0,"Dec 2019",22,1,2,0,9
"SEMAPHORE PARK",0,0,0,0,6,0,"5019",0,0,0,1034,0,0,1,1,0,0,501903,0,4,0,0,1,0,1,1,0,0,"Dec 2019",35,2,3,0,15
"SEMAPHORE SOUTH",0,0,0,0,0,0,"5019",0,0,0,1046,0,0,0,0,0,0,501904,0,0,0,0,0,4,0,0,0,0,"Dec 2019",8,0,1,0,3
"WEST LAKES SHORE",0,0,0,0,1,0,"5020",0,0,0,1058,0,0,1,0,0,0,502001,0,0,0,0,1,2,0,0,1,0,"Dec 2019",14,1,2,0,5
"WEST LAKES",0,2,0,0,7,0,"5021",0,0,0,1070,0,1,2,1,16,1,502101,0,4,0,0,0,1,2,0,0,0,"Dec 2019",72,5,21,1,8
"GRANGE",0,0,2,0,3,0,"5022",0,1,0,1082,0,0,0,0,1,0,502201,0,1,0,0,0,1,2,0,0,0,"Dec 2019",22,0,4,0,7
"HENLEY BEACH",0,1,0,0,6,0,"5022",0,0,0,1094,0,1,2,0,3,0,502202,0,3,0,0,2,1,0,0,0,0,"Dec 2019",39,2,9,0,9
"HENLEY BEACH SOUTH",0,0,0,0,1,0,"5022",0,0,0,1106,0,0,2,0,0,0,502203,0,0,0,0,0,0,2,0,0,0,"Dec 2019",8,0,1,0,2
"RENOWN PARK",0,1,0,0,1,0,"5008",0,0,0,111,0,0,0,1,0,0,500805,0,0,0,0,0,0,0,0,0,0,"Dec 2019",5,0,0,0,2
"TENNYSON",0,0,0,0,0,0,"5022",0,0,0,1118,0,0,1,0,0,0,502204,0,0,0,0,0,0,0,0,0,0,"Dec 2019",1,0,0,0,0
"FINDON",0,2,0,0,13,1,"5023",0,1,0,1128,0,0,6,3,9,0,502301,0,5,0,0,0,6,3,0,0,0,"Dec 2019",75,1,15,0,10
"SEATON",0,1,0,1,3,1,"5023",0,0,1,1143,0,0,6,0,1,0,502302,0,5,0,0,1,2,1,1,0,0,"Dec 2019",40,1,6,0,9
"FULHAM",0,0,0,0,1,0,"5024",0,0,0,1155,0,0,0,0,2,0,502401,0,1,0,0,0,0,0,0,0,0,"Dec 2019",7,0,2,0,1
"FULHAM GARDENS",0,0,0,0,2,0,"5024",0,0,1,1167,0,0,1,0,3,0,502402,0,1,0,0,1,0,0,0,0,0,"Dec 2019",16,0,2,0,5
"WEST BEACH",0,1,0,1,4,0,"5024",0,0,0,1180,0,0,3,0,0,0,502403,0,0,0,0,0,0,0,0,0,0,"Dec 2019",34,0,23,0,2
"FLINDERS PARK",0,1,0,0,4,0,"5025",0,0,0,1192,0,0,2,0,1,0,502501,0,1,0,0,1,2,1,0,0,0,"Dec 2019",24,1,6,0,4
"BROMPTON",0,1,0,0,7,0,"5007",0,0,1,1204,0,0,5,0,0,0,500702,0,3,0,0,0,1,4,0,0,0,"Dec 2019",36,0,10,0,4
"HINDMARSH",0,1,0,0,1,0,"5007",0,1,0,1216,0,0,0,1,0,0,500703,0,0,0,0,0,1,2,0,0,0,"Dec 2019",10,0,1,0,2
"NORTH PLYMPTON",0,2,0,0,2,0,"5037",0,0,0,1228,0,0,2,2,0,0,503704,0,1,0,0,0,3,1,0,0,0,"Dec 2019",16,0,1,0,2
"RIDLEYTON",0,0,0,0,3,0,"5008",0,0,0,123,0,0,2,0,1,0,500806,0,2,0,0,0,0,0,0,0,0,"Dec 2019",19,0,9,0,2
"CAMDEN PARK",0,2,1,0,0,1,"5038",0,1,0,1240,0,0,1,0,2,0,503801,0,0,0,0,0,0,1,0,1,0,"Dec 2019",20,0,6,0,4
"PLYMPTON",0,1,0,0,3,0,"5038",0,0,0,1252,0,0,1,1,10,0,503802,0,2,0,0,2,2,2,0,0,0,"Dec 2019",62,5,28,0,5
"PLYMPTON PARK",0,0,0,0,4,0,"5038",0,0,1,1264,0,0,1,1,0,0,503803,0,0,0,0,1,0,0,0,0,0,"Dec 2019",11,0,2,0,1
"SOUTH PLYMPTON",0,0,0,0,2,1,"5038",1,0,0,1276,0,0,3,1,8,0,503804,0,3,0,0,2,1,1,0,0,0,"Dec 2019",35,0,6,0,6
"CLARENCE GARDENS",0,0,0,0,1,0,"5039",0,1,0,1288,0,0,1,0,1,0,503901,0,0,0,0,0,0,2,0,0,0,"Dec 2019",11,2,1,0,2
"MALVERN",0,0,0,0,2,0,"5061",0,0,0,1300,0,0,0,0,0,0,506102,0,0,0,0,0,0,0,0,0,0,"Dec 2019",5,0,2,0,1
"UNLEY",0,0,0,0,8,0,"5061",0,0,0,1312,0,0,2,0,4,0,506103,0,2,0,0,1,5,0,1,0,0,"Dec 2019",43,0,12,0,8
"CLAPHAM",0,0,0,0,2,0,"5062",0,0,0,1335,0,0,0,0,0,0,506202,0,0,0,0,0,0,0,0,0,0,"Dec 2019",2,0,0,0,0
"HAWTHORN",0,1,0,0,3,0,"5062",0,0,0,1345,0,0,3,0,2,0,506203,0,0,0,0,0,0,0,0,0,0,"Dec 2019",12,0,3,0,0
"WEST CROYDON",0,0,0,0,3,0,"5008",0,0,0,135,0,0,0,0,1,0,500807,0,0,0,0,0,0,2,0,0,0,"Dec 2019",18,0,10,0,2
"KINGSWOOD",0,0,0,0,0,0,"5062",0,0,0,1358,0,0,1,0,1,0,506204,0,2,0,0,0,0,0,0,0,0,"Dec 2019",10,0,6,0,0
"GLENELG SOUTH",0,0,0,0,0,0,"5045",0,0,0,1370,0,0,1,1,0,0,504504,0,1,0,0,0,0,0,0,0,0,"Dec 2019",8,0,2,0,3
"OAKLANDS PARK",0,0,0,1,8,0,"5046",0,5,2,1381,0,2,4,2,46,0,504601,0,8,0,0,2,1,2,2,3,0,"Dec 2019",131,3,21,1,18
"COLONEL LIGHT GARDENS",0,0,0,0,1,0,"5041",0,0,0,1393,0,0,1,0,1,0,504101,0,2,0,0,0,2,0,0,0,0,"Dec 2019",9,0,0,0,2
"ADELAIDE",0,28,4,1,40,0,"5000",1,13,3,14,0,4,8,38,96,4,500001,0,64,0,3,17,23,5,1,6,0,"Dec 2019",639,21,175,0,84
"CUMBERLAND PARK",0,0,0,0,4,0,"5041",0,0,0,1405,0,0,0,0,0,1,504102,0,0,0,0,0,0,0,0,1,0,"Dec 2019",12,0,5,0,1
"DAW PARK",0,1,0,0,1,0,"5041",0,0,0,1417,0,0,1,0,0,0,504103,0,0,0,0,0,0,0,0,0,0,"Dec 2019",6,2,0,0,1
"PANORAMA",0,0,0,0,0,0,"5041",0,0,0,1429,0,0,0,0,0,0,504104,0,0,0,0,1,0,0,0,0,0,"Dec 2019",2,0,1,0,0
"WESTBOURNE PARK",0,0,0,0,0,0,"5041",0,0,0,1441,0,0,0,0,0,0,504105,0,0,0,0,0,1,0,0,0,0,"Dec 2019",4,0,3,0,0
"WARRADALE",0,0,0,0,3,0,"5046",0,0,1,1453,0,0,2,1,0,0,504602,0,5,0,0,1,0,0,0,0,0,"Dec 2019",18,1,1,0,3
"DARLINGTON",0,1,0,0,0,0,"5047",0,0,0,1465,0,0,0,0,2,0,504701,0,1,0,0,0,0,0,0,0,0,"Dec 2019",10,1,4,0,1
