SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"NORTH HAVEN",0,0,0,0,3,0,"5018",0,2,0,1007,0,0,0,0,4,0,501801,0,0,0,0,1,0,0,0,0,0,"Feb 2020",15,1,2,0,2
"EXETER",0,0,0,0,0,0,"5019",0,0,0,1020,0,0,1,1,3,0,501901,0,0,0,0,0,0,0,0,0,0,"Feb 2020",13,1,6,0,1
"SEMAPHORE",0,0,0,0,0,0,"5019",0,0,0,1032,0,0,1,0,2,0,501902,0,1,0,0,0,0,1,0,0,0,"Feb 2020",13,3,5,0,0
"SEMAPHORE PARK",0,1,0,0,5,0,"5019",0,0,0,1044,0,1,2,1,0,0,501903,0,7,0,0,0,0,1,1,0,0,"Feb 2020",35,3,3,0,10
"SEMAPHORE SOUTH",0,0,0,0,1,0,"5019",0,0,0,1056,0,0,0,0,0,0,501904,0,0,0,0,0,0,0,0,0,0,"Feb 2020",3,1,1,0,0
"WEST LAKES SHORE",0,1,0,0,7,0,"5020",0,0,0,1068,0,0,1,0,0,0,502001,0,2,0,0,1,1,1,0,0,1,"Feb 2020",20,0,3,0,2
"WEST LAKES",0,1,0,0,9,0,"5021",0,1,1,1080,0,0,2,1,15,0,502101,0,0,0,0,3,3,1,0,1,0,"Feb 2020",62,0,20,0,4
"DUDLEY PARK",0,0,0,0,0,0,"5008",0,0,0,109,0,0,1,0,0,0,500804,0,0,0,0,0,0,0,0,0,0,"Feb 2020",5,0,2,0,2
"GRANGE",0,0,0,0,1,0,"5022",0,0,0,1092,0,1,2,0,1,0,502201,0,3,0,0,0,2,2,0,0,0,"Feb 2020",25,0,7,0,6
"WELLAND",0,0,0,0,0,0,"5007",0,0,0,11,0,0,0,0,3,0,500704,0,0,0,0,0,0,0,0,0,0,"Feb 2020",6,0,2,0,1
"HENLEY BEACH",0,0,0,0,2,0,"5022",0,1,0,1104,0,1,2,1,0,0,502202,0,4,0,0,3,1,1,1,0,0,"Feb 2020",25,0,5,0,3
"HENLEY BEACH SOUTH",0,0,0,0,1,0,"5022",0,0,0,1116,0,0,1,1,0,0,502203,0,0,0,0,0,0,1,0,0,0,"Feb 2020",6,0,2,0,0
