SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"NORTH HAVEN",0,0,0,0,6,0,"5018",0,1,0,1008,0,0,1,0,2,0,501801,0,2,0,0,1,0,0,0,0,0,"Jan 2020",22,1,3,0,5
"EXETER",0,1,0,1,0,0,"5019",0,0,0,1021,0,0,1,0,4,0,501901,0,1,0,0,1,0,0,2,0,0,"Jan 2020",13,0,2,0,0
"SEMAPHORE",0,3,0,0,1,0,"5019",0,0,0,1033,0,0,1,2,3,0,501902,0,7,0,0,1,6,0,0,0,0,"Jan 2020",41,0,8,0,9
"SEMAPHORE PARK",0,5,0,1,11,0,"5019",0,1,0,1045,0,0,14,2,0,0,501903,0,4,0,0,0,2,3,1,0,0,"Jan 2020",70,1,8,0,17
"SEMAPHORE SOUTH",0,0,0,0,1,0,"5019",0,0,0,1057,0,0,0,0,0,0,501904,0,1,0,0,0,1,0,0,0,0,"Jan 2020",7,0,1,0,3
"WEST LAKES SHORE",0,0,0,0,3,0,"5020",0,0,0,1069,0,0,1,0,0,0,502001,0,0,0,0,0,0,0,0,0,0,"Jan 2020",9,0,1,0,4
"WEST LAKES",0,3,0,0,4,0,"5021",0,0,0,1081,0,0,0,0,14,0,502101,0,3,0,0,0,6,0,0,0,0,"Jan 2020",57,0,21,0,6
"GRANGE",0,0,0,0,4,0,"5022",0,1,1,1093,0,0,1,0,0,0,502201,0,1,0,0,0,1,0,1,0,0,"Jan 2020",20,0,7,0,3
"DUDLEY PARK",0,1,0,0,2,0,"5008",0,0,0,110,0,0,0,0,0,0,500804,0,0,0,0,0,0,1,0,0,0,"Jan 2020",4,0,0,0,0
"HENLEY BEACH",0,1,0,0,3,3,"5022",0,0,0,1105,0,0,1,0,2,0,502202,0,3,0,0,1,1,1,0,0,0,"Jan 2020",28,2,4,0,6
"HENLEY BEACH SOUTH",0,0,0,0,3,0,"5022",0,0,0,1117,0,0,0,0,0,0,502203,0,0,0,0,0,0,1,0,0,0,"Jan 2020",6,0,0,0,2
"TENNYSON",0,0,0,0,0,0,"5022",0,0,0,1127,0,0,1,0,0,0,502204,0,0,0,0,0,0,0,0,0,0,"Jan 2020",3,0,2,0,0
"FINDON",0,0,1,0,12,0,"5023",0,0,1,1139,0,1,1,0,7,0,502301,0,1,0,0,1,4,0,1,0,0,"Jan 2020",48,1,6,0,11
"SEATON",0,2,0,0,13,0,"5023",0,2,0,1154,0,0,8,1,0,0,502302,0,4,0,0,2,5,3,0,1,0,"Jan 2020",77,1,20,0,15
"FULHAM",0,0,2,0,1,0,"5024",0,0,0,1166,0,0,1,1,1,0,502401,0,0,0,0,0,0,0,0,0,0,"Jan 2020",18,0,4,0,8
"FULHAM GARDENS",0,0,0,0,2,0,"5024",0,0,0,1178,0,0,4,0,1,1,502402,0,0,0,0,0,1,0,0,0,0,"Jan 2020",21,3,7,0,2
"WEST BEACH",0,0,0,0,4,0,"5024",0,0,0,1191,0,0,1,0,2,0,502403,0,3,0,0,0,0,1,0,0,0,"Jan 2020",22,0,11,0,0
"WELLAND",0,0,0,0,0,0,"5007",0,0,0,12,0,0,1,0,2,0,500704,0,0,0,0,0,1,1,0,0,0,"Jan 2020",9,0,4,0,0
"FLINDERS PARK",0,1,0,0,6,3,"5025",0,0,0,1203,0,0,2,0,1,0,502501,0,1,0,0,0,1,1,0,0,0,"Jan 2020",20,0,2,0,2
"BROMPTON",0,0,0,0,0,0,"5007",0,4,0,1215,0,0,1,0,1,0,500702,0,1,0,0,1,1,1,0,0,0,"Jan 2020",25,1,11,0,3
"RENOWN PARK",0,0,0,0,1,0,"5008",0,0,0,122,0,0,4,0,0,0,500805,0,1,0,0,0,0,0,0,0,0,"Jan 2020",13,1,2,0,4
"HINDMARSH",0,0,0,0,4,0,"5007",0,0,0,1227,0,0,0,0,0,0,500703,0,1,0,0,0,4,0,0,0,0,"Jan 2020",18,0,5,0,4
"NORTH PLYMPTON",0,0,0,0,1,0,"5037",0,2,0,1239,0,0,2,0,0,0,503704,0,0,0,0,1,0,4,0,0,0,"Jan 2020",12,1,0,0,1
"CAMDEN PARK",0,1,0,0,2,1,"5038",0,0,0,1251,0,0,1,0,1,1,503801,0,2,0,0,1,0,0,0,0,0,"Jan 2020",21,2,4,0,5
"PLYMPTON",0,2,0,0,8,1,"5038",0,1,0,1263,0,0,4,0,19,0,503802,0,4,0,0,1,1,1,0,0,0,"Jan 2020",74,1,17,0,14
"PLYMPTON PARK",0,0,0,0,6,0,"5038",0,0,0,1275,0,2,3,1,1,0,503803,0,3,0,0,0,1,2,0,0,0,"Jan 2020",22,0,1,1,1
"SOUTH PLYMPTON",0,0,0,0,4,0,"5038",0,0,0,1287,0,0,0,0,5,0,503804,0,2,0,0,0,0,0,0,0,0,"Jan 2020",19,0,6,0,2
"CLARENCE GARDENS",0,0,0,0,3,0,"5039",0,0,0,1299,0,0,0,0,1,0,503901,0,0,0,0,0,0,0,0,0,0,"Jan 2020",8,0,1,0,3
"MALVERN",0,0,0,0,1,0,"5061",0,0,0,1311,0,0,0,0,1,0,506102,0,0,0,0,0,0,0,0,0,0,"Jan 2020",9,0,4,0,3
"UNLEY",0,1,0,0,1,0,"5061",0,0,0,1323,0,0,0,0,2,0,506103,0,1,0,0,1,1,0,0,1,0,"Jan 2020",18,1,8,0,1
"UNLEY PARK",0,1,0,0,1,0,"5061",0,0,0,1333,0,0,1,0,0,0,506104,0,0,0,0,0,0,1,0,0,0,"Jan 2020",6,0,1,0,1
"RIDLEYTON",0,0,0,0,0,0,"5008",0,0,0,134,0,0,0,0,6,0,500806,0,1,0,0,0,1,0,0,0,0,"Jan 2020",20,1,8,0,3
"CLAPHAM",0,0,0,0,0,0,"5062",0,0,0,1344,0,0,1,0,0,0,506202,0,0,0,0,1,0,1,0,0,0,"Jan 2020",6,0,1,0,2
"HAWTHORN",0,0,0,0,4,0,"5062",0,0,0,1356,0,0,1,0,0,0,506203,0,0,0,0,0,0,0,0,0,0,"Jan 2020",9,1,2,0,1
"KINGSWOOD",0,0,0,0,1,0,"5062",0,0,0,1369,0,0,2,0,1,0,506204,0,0,0,0,0,0,0,0,0,0,"Jan 2020",10,0,5,0,1
"GLENELG SOUTH",0,0,0,0,2,0,"5045",0,0,0,1380,0,0,0,0,0,0,504504,0,1,0,0,0,0,1,0,0,0,"Jan 2020",9,1,2,0,2
"OAKLANDS PARK",0,0,0,0,3,0,"5046",0,2,0,1392,0,4,3,2,38,0,504601,0,8,0,0,3,2,8,1,1,0,"Jan 2020",103,1,11,0,16
"COLONEL LIGHT GARDENS",0,1,0,0,2,0,"5041",0,0,0,1404,0,0,2,0,0,0,504101,0,0,0,0,0,0,1,0,0,0,"Jan 2020",13,2,2,0,3
"CUMBERLAND PARK",0,0,0,0,3,0,"5041",0,0,0,1416,0,0,0,1,8,0,504102,0,0,0,0,2,0,0,0,0,0,"Jan 2020",18,0,4,0,0
"DAW PARK",0,0,0,0,3,0,"5041",0,0,0,1428,0,0,1,1,0,0,504103,0,3,0,0,0,0,1,0,0,0,"Jan 2020",14,0,1,0,4
"PANORAMA",0,0,0,0,1,0,"5041",0,0,0,1440,0,0,1,1,0,0,504104,0,2,0,0,0,0,0,0,0,0,"Jan 2020",6,0,1,0,0
"WESTBOURNE PARK",0,0,0,0,0,0,"5041",0,0,0,1452,0,0,2,0,0,0,504105,0,0,0,0,1,1,2,0,0,0,"Jan 2020",15,0,5,0,4
"WEST CROYDON",0,0,0,0,6,0,"5008",0,0,0,146,0,1,0,0,3,0,500807,0,0,0,0,0,2,0,0,0,0,"Jan 2020",20,0,7,0,1
"WARRADALE",0,0,0,0,0,0,"5046",0,0,0,1464,0,0,1,1,1,0,504602,0,0,0,0,1,0,0,0,0,0,"Jan 2020",9,0,2,0,3
"DARLINGTON",0,0,0,0,0,0,"5047",0,0,0,1476,0,0,0,0,1,0,504701,0,1,0,0,0,0,0,0,0,0,"Jan 2020",9,0,5,0,2
"SEACOMBE GARDENS",0,0,0,0,4,0,"5047",0,1,0,1488,0,0,3,0,0,0,504702,0,0,0,1,1,1,1,1,0,0,"Jan 2020",18,0,2,0,3
"SEACOMBE HEIGHTS",0,0,0,0,0,0,"5047",0,0,0,1500,0,0,0,0,0,0,504703,0,0,0,0,0,0,0,0,0,0,"Jan 2020",2,1,1,0,0
"STURT",0,3,0,0,0,0,"5047",0,0,0,1512,0,0,2,0,0,0,504704,0,4,0,0,0,0,2,0,0,0,"Jan 2020",17,0,2,0,4
"BRIGHTON",0,0,0,0,1,0,"5048",0,0,0,1524,0,1,1,1,1,0,504801,0,0,0,0,0,0,0,0,0,0,"Jan 2020",12,0,6,0,1
"DOVER GARDENS",0,0,0,0,0,0,"5048",0,0,0,1536,0,0,1,0,0,0,504802,0,1,0,0,0,0,0,0,0,0,"Jan 2020",6,1,1,0,2
"HOVE",0,0,0,0,1,0,"5048",0,0,0,1548,0,1,0,0,0,0,504803,0,0,0,0,0,1,0,0,0,0,"Jan 2020",7,0,2,0,2
"NORTH BRIGHTON",0,0,0,0,3,1,"5048",0,0,0,1560,0,0,0,0,1,0,504804,0,0,0,0,0,0,1,0,1,0,"Jan 2020",14,0,3,0,4
"KESWICK TERMINAL",0,0,0,0,0,0,"5035",0,0,0,1571,0,2,0,0,0,0,503506,0,0,0,0,0,1,0,0,0,0,"Jan 2020",3,0,0,0,0
"ALLENBY GARDENS",0,0,0,0,1,1,"5009",1,0,0,158,0,0,0,0,1,0,500901,0,0,0,0,0,0,0,0,0,0,"Jan 2020",7,0,1,0,2
"GLANDORE",0,1,0,0,5,1,"5037",0,0,0,1583,0,1,1,0,0,0,503701,0,0,0,1,1,1,0,0,0,0,"Jan 2020",21,0,4,0,5
"KURRALTA PARK",0,0,0,0,4,0,"5037",0,0,0,1595,0,0,1,0,3,0,503702,0,2,0,0,0,0,2,1,1,0,"Jan 2020",27,0,10,0,3
"NETLEY",0,0,0,0,0,0,"5037",0,0,0,1606,0,0,0,0,0,0,503703,0,0,0,0,0,0,0,0,0,0,"Jan 2020",3,1,2,0,0
"MITCHELL PARK",0,1,0,0,2,2,"5043",0,0,0,1618,0,0,3,1,1,0,504303,0,1,0,0,0,1,1,2,1,0,"Jan 2020",35,1,12,0,6
"MORPHETTVILLE",0,3,0,0,1,0,"5043",0,0,0,1631,0,1,0,1,4,1,504304,0,2,0,0,0,1,0,0,0,0,"Jan 2020",26,0,6,0,6
"PARK HOLME",0,0,0,0,1,0,"5043",0,0,0,1643,0,0,3,0,3,1,504305,0,5,0,0,0,0,0,0,0,0,"Jan 2020",22,0,6,0,3
"GLENGOWRIE",0,1,0,0,3,0,"5044",0,0,0,1655,0,0,1,0,1,0,504401,0,0,0,0,0,0,0,0,0,0,"Jan 2020",13,0,5,0,2
"SOMERTON PARK",0,1,0,1,6,0,"5044",0,0,0,1667,0,0,1,1,0,0,504402,0,0,0,1,0,0,0,0,0,0,"Jan 2020",20,2,4,0,3
"GLENELG",0,4,3,0,4,0,"5045",0,2,0,1679,0,0,1,3,11,1,504501,0,9,0,0,2,0,1,0,1,0,"Jan 2020",79,2,23,0,12
"GLENELG EAST",0,0,0,0,2,0,"5045",0,0,0,1691,0,0,0,0,0,0,504502,0,3,0,0,1,0,1,0,0,0,"Jan 2020",14,0,5,0,2
"BEVERLEY",0,0,0,0,1,0,"5009",0,0,0,170,0,0,0,0,2,0,500902,0,0,0,1,1,3,0,0,0,0,"Jan 2020",24,2,6,0,8
"GLENELG NORTH",0,0,0,0,4,0,"5045",0,0,0,1703,0,0,1,1,2,0,504503,0,2,0,0,2,0,1,0,0,0,"Jan 2020",23,0,6,0,4
"SOUTH BRIGHTON",0,0,0,0,1,0,"5048",0,0,0,1716,0,0,0,0,1,0,504805,0,0,0,0,0,0,1,0,0,0,"Jan 2020",14,0,5,0,6
"KINGSTON PARK",0,0,0,0,0,0,"5049",0,0,0,1725,0,0,0,0,0,0,504901,0,0,0,1,0,0,0,0,0,0,"Jan 2020",2,0,1,0,0
"MARINO",0,0,0,0,0,0,"5049",0,0,0,1736,0,0,1,0,0,0,504902,0,0,0,0,0,0,1,0,0,0,"Jan 2020",4,0,1,0,1
