SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"NORTH HAVEN",0,0,0,0,6,0,"5018",0,0,0,1002,0,1,1,0,0,0,501801,0,1,0,0,1,3,0,0,1,0,"Jul 2019",19,0,3,0,2
"EXETER",0,0,0,0,0,0,"5019",0,0,0,1015,0,0,0,0,4,0,501901,0,0,0,0,0,1,0,0,0,0,"Jul 2019",8,0,1,0,2
"SEMAPHORE",0,0,0,0,1,0,"5019",0,0,0,1027,0,0,1,3,4,0,501902,0,1,0,0,4,3,0,0,0,0,"Jul 2019",25,0,7,0,1
"SEMAPHORE PARK",0,1,0,0,5,0,"5019",0,1,0,1039,0,0,1,0,0,0,501903,0,4,0,0,0,1,0,0,2,0,"Jul 2019",31,1,5,0,10
"DUDLEY PARK",0,0,0,1,0,0,"5008",0,1,0,105,0,0,1,0,0,0,500804,0,0,0,0,1,1,1,0,0,0,"Jul 2019",7,0,0,0,1
"SEMAPHORE SOUTH",0,0,0,0,0,0,"5019",0,0,0,1051,0,0,0,0,0,0,501904,0,0,0,0,0,0,0,0,0,0,"Jul 2019",1,0,0,0,1
"WEST LAKES SHORE",0,0,0,0,3,0,"5020",0,0,2,1063,0,0,0,0,0,1,502001,0,0,0,0,0,1,3,0,0,0,"Jul 2019",14,1,2,0,1
"WEST LAKES",0,1,1,0,4,0,"5021",0,0,0,1075,0,0,2,2,28,3,502101,0,0,0,0,0,1,0,0,0,0,"Jul 2019",57,0,11,0,4
"GRANGE",0,0,0,1,6,1,"5022",0,1,0,1087,0,0,7,0,0,0,502201,0,4,0,0,1,1,2,1,0,0,"Jul 2019",39,0,9,0,5
"HENLEY BEACH",0,0,0,0,3,0,"5022",0,1,1,1099,0,0,2,2,5,0,502202,0,0,0,0,0,1,4,1,0,0,"Jul 2019",29,0,4,0,5
"HENLEY BEACH SOUTH",0,0,0,0,0,0,"5022",0,0,0,1111,0,1,1,0,0,0,502203,0,0,0,0,0,0,0,0,0,0,"Jul 2019",6,0,1,0,3
"FINDON",0,0,0,0,7,2,"5023",1,1,0,1133,0,0,4,2,7,0,502301,0,3,0,0,3,2,2,0,0,0,"Jul 2019",53,2,7,0,10
"SEATON",0,0,2,0,5,0,"5023",0,1,0,1148,0,0,4,2,3,0,502302,0,6,0,0,2,0,1,0,0,0,"Jul 2019",45,2,8,0,9
"RENOWN PARK",0,1,0,0,2,2,"5008",0,0,0,116,0,0,1,1,0,0,500805,0,0,0,0,0,0,1,0,0,0,"Jul 2019",13,0,1,0,4
"FULHAM",0,0,0,0,2,0,"5024",0,0,0,1160,0,0,2,0,0,0,502401,0,0,0,0,1,1,0,1,0,0,"Jul 2019",15,0,5,0,3
"FULHAM GARDENS",0,0,0,2,3,0,"5024",0,0,0,1172,0,0,0,4,1,0,502402,0,1,0,0,2,1,0,0,0,0,"Jul 2019",19,0,2,0,3
"WEST BEACH",0,1,0,0,1,1,"5024",0,1,0,1185,0,0,1,1,1,1,502403,0,2,0,0,0,1,0,0,0,0,"Jul 2019",20,0,6,0,3
"FLINDERS PARK",0,0,0,0,4,0,"5025",0,0,0,1197,0,0,2,1,0,0,502501,0,0,0,0,2,3,0,0,0,0,"Jul 2019",20,0,7,0,1
"BROMPTON",0,3,0,0,11,0,"5007",0,0,0,1209,0,0,0,2,1,1,500702,0,2,0,0,3,0,3,0,0,0,"Jul 2019",54,6,13,0,9
"HINDMARSH",0,0,0,0,7,0,"5007",0,0,0,1221,0,0,1,1,1,0,500703,0,0,0,0,1,2,1,0,1,0,"Jul 2019",25,1,3,0,6
"NORTH PLYMPTON",0,0,0,0,3,0,"5037",0,0,0,1233,0,1,3,0,0,0,503704,0,0,0,0,0,1,1,0,1,0,"Jul 2019",20,0,5,0,5
"CAMDEN PARK",0,1,1,0,2,1,"5038",0,0,0,1245,0,0,4,0,1,0,503801,0,3,0,0,0,0,0,0,0,0,"Jul 2019",27,1,8,0,5
"PLYMPTON",0,0,0,0,12,0,"5038",1,1,0,1257,0,0,2,0,18,0,503802,0,0,0,0,0,3,0,0,1,0,"Jul 2019",68,2,17,1,10
"PLYMPTON PARK",0,1,0,0,4,0,"5038",0,1,0,1269,0,1,4,0,0,0,503803,0,2,0,0,0,0,1,0,0,0,"Jul 2019",25,5,2,0,4
"RIDLEYTON",0,0,1,0,4,0,"5008",0,1,0,128,0,0,0,0,6,1,500806,0,0,0,0,0,0,0,0,1,0,"Jul 2019",25,2,6,0,3
"SOUTH PLYMPTON",0,0,0,0,4,0,"5038",0,0,0,1281,0,0,2,0,1,0,503804,0,2,0,0,1,2,0,1,0,0,"Jul 2019",23,0,3,0,7
"CLARENCE GARDENS",0,0,0,0,1,0,"5039",0,0,0,1293,0,0,0,0,0,0,503901,0,0,0,0,1,0,0,0,0,0,"Jul 2019",4,0,1,0,1
"MALVERN",0,0,0,0,0,0,"5061",0,0,0,1305,0,0,1,0,0,0,506102,0,0,0,0,0,0,0,0,0,0,"Jul 2019",3,0,1,0,1
"UNLEY",0,1,0,0,5,0,"5061",0,0,0,1317,0,0,1,0,2,0,506103,0,0,0,1,2,1,1,0,1,0,"Jul 2019",21,1,3,0,2
