SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"NORTH HAVEN",0,0,0,0,0,0,"5018",0,0,0,1003,0,0,1,0,1,0,501801,0,0,0,0,0,1,1,0,0,0,"Jun 2020",6,0,1,0,1
"EXETER",0,0,0,0,0,0,"5019",0,0,0,1016,0,0,0,0,0,0,501901,0,1,0,0,0,0,0,0,0,0,"Jun 2020",3,0,1,0,1
"SEMAPHORE",0,0,0,0,1,0,"5019",0,0,0,1028,0,0,0,0,1,0,501902,0,1,0,0,1,0,0,0,0,0,"Jun 2020",9,0,1,0,4
"SEMAPHORE PARK",0,2,0,0,1,0,"5019",0,1,0,1040,0,0,1,1,0,0,501903,0,6,0,0,1,2,1,0,0,0,"Jun 2020",36,2,2,0,16
"SEMAPHORE SOUTH",0,0,0,0,0,0,"5019",0,0,0,1052,0,0,0,0,0,0,501904,0,2,0,0,0,1,0,0,0,0,"Jun 2020",6,0,2,0,1
"WEST LAKES SHORE",0,0,0,0,0,0,"5020",0,1,0,1064,0,0,2,0,0,0,502001,0,1,0,0,1,1,1,0,0,0,"Jun 2020",8,0,0,0,1
"WEST LAKES",0,0,0,0,1,0,"5021",0,0,0,1076,0,0,3,0,8,0,502101,0,3,0,0,0,0,0,0,0,0,"Jun 2020",28,3,6,0,4
"GRANGE",0,1,0,0,3,0,"5022",0,0,1,1088,0,4,0,0,0,0,502201,0,3,0,0,1,1,2,0,0,0,"Jun 2020",20,1,1,0,2
"HENLEY BEACH",0,1,1,0,0,1,"5022",0,0,0,1100,0,0,0,1,5,0,502202,0,3,0,2,0,0,0,0,0,0,"Jun 2020",22,1,3,0,4
"HENLEY BEACH SOUTH",0,0,0,0,4,2,"5022",0,0,0,1112,0,0,0,0,0,0,502203,0,0,0,0,1,0,0,0,0,0,"Jun 2020",12,1,1,0,3
"FINDON",0,1,0,0,3,0,"5023",0,1,0,1134,0,0,5,4,5,0,502301,0,3,0,0,0,2,0,0,0,0,"Jun 2020",31,0,4,0,3
"FINDON",0,0,0,0,0,0,"5023",0,0,0,1141,0,0,0,0,0,0,502301,0,1,0,0,0,0,0,0,0,0,"Jun 2020",1,0,0,0,0
"SEATON",0,3,0,0,5,0,"5023",0,2,1,1149,0,6,4,0,4,0,502302,0,5,0,1,1,1,1,0,0,0,"Jun 2020",57,2,10,0,11
"FULHAM",0,0,0,0,1,0,"5024",0,0,1,1161,0,0,0,0,0,0,502401,0,2,0,0,0,1,0,0,0,0,"Jun 2020",9,0,2,0,2
"RENOWN PARK",0,0,0,0,1,0,"5008",0,0,0,117,0,0,1,0,0,0,500805,0,3,0,0,0,0,2,0,0,0,"Jun 2020",11,0,3,0,1
"FULHAM GARDENS",0,0,0,0,0,0,"5024",1,0,0,1173,0,0,1,1,3,0,502402,0,4,0,1,0,0,0,0,0,0,"Jun 2020",15,0,0,0,4
"WEST BEACH",0,0,0,0,2,0,"5024",0,0,0,1186,0,0,0,0,4,0,502403,0,2,0,0,1,0,0,0,0,0,"Jun 2020",17,1,4,0,3
"FLINDERS PARK",0,0,0,0,0,0,"5025",0,0,0,1198,0,1,0,0,0,0,502501,0,2,0,0,0,4,0,0,1,0,"Jun 2020",15,1,3,0,3
"BROMPTON",0,1,0,0,4,0,"5007",0,0,0,1210,0,1,2,2,4,0,500702,0,5,0,0,0,0,1,1,0,0,"Jun 2020",27,0,4,0,2
"HINDMARSH",0,0,0,0,1,0,"5007",0,0,0,1222,0,1,0,0,1,0,500703,0,0,0,0,2,0,0,0,0,0,"Jun 2020",8,0,2,0,1
"NORTH PLYMPTON",0,0,0,0,0,0,"5037",0,1,0,1234,0,0,0,0,0,0,503704,0,0,0,0,1,1,0,0,0,0,"Jun 2020",8,0,4,0,1
"CAMDEN PARK",0,1,0,0,3,0,"5038",0,0,1,1246,0,1,2,0,0,0,503801,0,0,0,0,0,0,0,0,1,0,"Jun 2020",15,0,4,0,2
"PLYMPTON",0,2,0,0,1,0,"5038",0,0,0,1258,0,1,1,1,3,0,503802,0,0,0,0,0,0,0,0,0,0,"Jun 2020",15,0,5,0,1
"PLYMPTON PARK",0,0,0,0,2,0,"5038",0,0,0,1270,0,1,0,0,0,0,503803,0,2,0,0,2,0,1,0,0,0,"Jun 2020",12,0,0,0,4
"SOUTH PLYMPTON",0,0,0,0,0,0,"5038",0,1,0,1282,0,0,0,0,3,0,503804,0,2,0,0,0,0,0,0,0,0,"Jun 2020",15,0,7,0,2
"RIDLEYTON",0,0,0,0,0,0,"5008",0,0,0,129,0,0,0,0,1,0,500806,0,1,0,0,2,1,1,0,0,0,"Jun 2020",9,0,0,0,3
