SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"WELLAND",0,0,0,0,1,0,"5007",0,0,0,10,0,0,0,2,1,0,500704,0,2,0,0,1,0,0,0,1,0,"Mar 2020",14,0,5,0,1
"NORTH HAVEN",0,0,0,0,1,0,"5018",0,0,0,1006,0,0,0,0,2,0,501801,0,0,0,0,0,0,0,0,0,0,"Mar 2020",7,0,3,0,1
"EXETER",0,1,0,0,1,0,"5019",0,1,0,1019,0,0,2,0,4,0,501901,0,0,0,0,1,0,0,0,0,0,"Mar 2020",14,0,3,1,0
"SEMAPHORE",0,0,0,0,1,0,"5019",0,1,0,1031,0,0,1,0,3,0,501902,0,2,0,0,0,4,0,1,0,0,"Mar 2020",27,0,6,0,8
"SEMAPHORE PARK",0,0,0,1,8,0,"5019",0,1,0,1043,0,0,7,0,1,0,501903,0,3,0,0,0,2,2,0,0,0,"Mar 2020",42,2,3,0,12
"SEMAPHORE SOUTH",0,0,0,0,0,0,"5019",0,0,0,1055,0,0,0,0,0,0,501904,0,1,0,0,0,0,0,0,0,0,"Mar 2020",4,1,1,0,1
"WEST LAKES SHORE",0,0,0,0,2,0,"5020",0,0,0,1067,0,0,1,0,1,0,502001,0,1,0,0,0,1,0,0,0,0,"Mar 2020",9,0,2,0,1
"WEST LAKES",0,0,0,0,16,0,"5021",0,1,0,1079,0,0,5,0,11,0,502101,0,3,0,0,2,7,2,0,1,0,"Mar 2020",101,2,43,0,8
"DUDLEY PARK",0,0,0,0,1,0,"5008",0,0,0,108,0,0,1,0,0,0,500804,0,0,0,0,0,1,0,0,0,0,"Mar 2020",5,0,0,0,2
"GRANGE",0,1,0,0,11,0,"5022",0,2,0,1091,0,1,3,1,0,0,502201,0,3,0,0,0,1,3,1,0,0,"Mar 2020",39,0,2,0,10
"HENLEY BEACH",0,0,0,0,2,0,"5022",0,0,0,1103,0,0,2,0,4,0,502202,0,2,0,1,0,2,1,1,1,0,"Mar 2020",20,0,1,0,3
"HENLEY BEACH SOUTH",0,0,1,0,4,0,"5022",0,0,0,1115,0,0,2,0,0,0,502203,0,1,0,0,0,3,0,0,0,0,"Mar 2020",17,0,3,0,3
"TENNYSON",0,0,0,0,0,0,"5022",0,0,0,1125,0,0,0,0,0,0,502204,0,0,0,0,0,0,0,0,0,0,"Mar 2020",1,1,0,0,0
"FINDON",0,2,0,0,13,0,"5023",0,0,0,1137,0,0,3,1,8,1,502301,0,1,0,0,0,0,0,0,1,0,"Mar 2020",46,2,9,1,4
"SEATON",0,0,0,0,33,2,"5023",0,4,0,1152,0,1,2,1,6,1,502302,0,4,0,0,1,2,0,0,0,0,"Mar 2020",74,0,7,0,10
"FULHAM",0,1,0,0,3,0,"5024",0,1,0,1164,0,0,4,1,0,0,502401,0,1,0,1,0,1,1,0,0,0,"Mar 2020",21,0,2,0,5
"FULHAM GARDENS",0,2,0,0,0,0,"5024",0,0,0,1176,0,0,0,0,2,0,502402,0,0,0,0,0,0,0,0,0,0,"Mar 2020",11,1,4,0,2
"WEST BEACH",0,0,0,0,3,0,"5024",0,4,0,1189,0,0,3,2,2,0,502403,0,2,0,0,0,1,5,0,0,0,"Mar 2020",35,0,11,0,2
"RENOWN PARK",0,0,0,0,0,0,"5008",0,3,0,120,0,0,2,0,0,0,500805,0,3,0,0,0,1,1,0,1,0,"Mar 2020",18,2,2,0,3
"FLINDERS PARK",0,0,0,0,6,0,"5025",0,0,0,1201,0,0,1,0,0,0,502501,0,3,0,0,0,0,0,0,0,0,"Mar 2020",20,0,7,0,3
"BROMPTON",0,0,0,0,7,3,"5007",0,0,0,1213,0,0,2,0,1,0,500702,0,2,0,0,1,0,1,0,0,0,"Mar 2020",35,1,11,0,6
"HINDMARSH",0,0,0,0,3,1,"5007",0,0,0,1225,0,0,0,1,1,0,500703,0,0,0,0,1,3,1,0,0,0,"Mar 2020",20,0,6,0,3
"NORTH PLYMPTON",0,0,0,0,1,0,"5037",0,0,0,1237,0,0,2,0,0,0,503704,0,1,0,0,1,0,3,0,0,0,"Mar 2020",11,0,3,0,0
"CAMDEN PARK",0,1,0,0,4,1,"5038",0,0,0,1249,0,0,1,0,5,0,503801,0,0,0,1,0,1,1,0,0,0,"Mar 2020",24,0,3,0,6
"PLYMPTON",0,0,1,0,1,0,"5038",0,1,0,1261,0,1,3,1,12,0,503802,0,1,0,1,2,0,2,0,1,0,"Mar 2020",54,1,20,0,6
"PLYMPTON PARK",0,0,0,0,3,0,"5038",0,0,0,1273,0,0,4,1,0,0,503803,0,1,0,0,0,1,1,0,0,0,"Mar 2020",19,1,4,0,3
"SOUTH PLYMPTON",0,1,0,0,1,0,"5038",0,1,1,1285,0,1,1,0,2,1,503804,0,0,0,0,0,1,2,0,0,0,"Mar 2020",25,1,10,0,2
"CLARENCE GARDENS",0,0,0,0,0,0,"5039",0,0,0,1297,0,0,0,0,0,0,503901,0,4,0,0,0,0,0,0,0,0,"Mar 2020",9,0,3,0,2
"MALVERN",0,0,0,0,0,0,"5061",0,0,0,1309,0,0,2,0,0,0,506102,0,2,0,0,0,1,0,0,0,0,"Mar 2020",7,1,1,0,0
"RIDLEYTON",0,0,0,0,0,0,"5008",0,0,0,132,0,0,0,0,9,0,500806,0,1,0,0,0,0,0,0,0,0,"Mar 2020",15,0,5,0,0
"UNLEY",0,2,0,0,6,0,"5061",0,2,0,1321,0,0,4,0,2,0,506103,0,0,0,0,0,3,2,0,0,0,"Mar 2020",35,0,10,0,4
"UNLEY PARK",0,0,0,0,0,0,"5061",0,0,0,1331,0,0,1,0,0,0,506104,0,0,0,0,0,0,1,0,0,0,"Mar 2020",2,0,0,0,0
"CLAPHAM",0,0,0,0,0,0,"5062",0,0,0,1342,0,0,0,0,0,0,506202,0,1,0,0,0,0,0,0,0,0,"Mar 2020",4,0,2,0,1
"HAWTHORN",0,0,0,0,0,0,"5062",0,0,0,1354,0,0,1,0,0,0,506203,0,1,0,0,0,4,0,0,0,0,"Mar 2020",11,0,1,0,4
"KINGSWOOD",0,0,0,0,0,0,"5062",0,0,1,1367,0,0,1,0,1,0,506204,0,1,0,0,0,2,0,0,0,0,"Mar 2020",12,1,4,0,1
"GLENELG SOUTH",0,0,0,0,1,0,"5045",0,0,0,1378,0,0,0,0,0,0,504504,0,1,0,0,0,2,0,0,0,0,"Mar 2020",7,0,2,0,1
"OAKLANDS PARK",0,2,0,0,5,0,"5046",0,2,0,1390,0,2,4,1,27,1,504601,0,4,0,0,2,3,2,0,0,0,"Mar 2020",78,3,11,0,9
"COLONEL LIGHT GARDENS",0,0,0,0,0,0,"5041",0,0,0,1402,0,0,0,0,0,0,504101,0,0,0,0,0,0,0,0,0,0,"Mar 2020",2,0,1,0,1
"CUMBERLAND PARK",0,0,0,0,0,0,"5041",0,0,0,1414,0,0,2,0,3,0,504102,0,0,0,0,2,2,2,0,0,0,"Mar 2020",14,0,2,0,1
"DAW PARK",0,1,0,0,2,0,"5041",0,0,0,1426,0,0,0,0,0,0,504103,0,0,0,0,0,3,0,0,0,0,"Mar 2020",6,0,0,0,0
"PANORAMA",0,0,0,0,1,0,"5041",0,0,0,1438,0,0,0,0,0,0,504104,0,0,0,0,1,0,0,0,0,0,"Mar 2020",5,1,2,0,0
"WEST CROYDON",0,2,0,0,4,0,"5008",0,0,0,144,0,0,2,0,1,1,500807,0,1,0,0,0,0,0,2,0,0,"Mar 2020",18,0,1,0,4
"WESTBOURNE PARK",0,0,0,0,0,0,"5041",0,0,0,1450,0,0,0,0,0,0,504105,0,0,0,0,0,3,0,0,0,0,"Mar 2020",5,0,2,0,0
"WARRADALE",0,0,0,0,1,1,"5046",0,0,0,1462,0,0,1,0,1,0,504602,0,1,0,0,0,1,2,0,0,0,"Mar 2020",14,1,4,0,1
"DARLINGTON",0,0,0,0,0,0,"5047",0,0,0,1474,0,0,0,0,0,0,504701,0,1,0,0,0,0,0,0,0,0,"Mar 2020",6,0,3,0,2
"SEACOMBE GARDENS",0,1,0,0,3,0,"5047",0,0,0,1486,0,1,4,1,0,0,504702,0,1,0,2,0,0,0,1,0,0,"Mar 2020",25,2,3,0,6
"SEACOMBE HEIGHTS",0,0,0,0,2,0,"5047",0,0,0,1498,0,0,0,0,0,0,504703,0,0,0,0,0,1,0,0,0,0,"Mar 2020",7,1,2,0,1
"STURT",0,0,0,0,2,0,"5047",0,1,0,1510,0,0,2,0,1,0,504704,0,2,0,0,0,1,0,0,0,0,"Mar 2020",17,0,4,0,4
