SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"NORTH HAVEN",0,0,0,0,1,0,"5018",0,0,0,1004,0,2,0,0,2,0,501801,0,2,0,0,1,1,1,0,0,0,"May 2020",24,3,6,0,5
"EXETER",0,0,0,0,0,1,"5019",0,0,0,1017,0,0,1,0,0,0,501901,0,1,0,0,0,0,0,0,0,0,"May 2020",7,0,1,0,3
"SEMAPHORE",0,0,0,1,0,0,"5019",0,0,0,1029,0,0,0,0,1,1,501902,0,1,0,0,0,0,1,0,0,0,"May 2020",10,1,2,0,2
"SEMAPHORE PARK",0,1,0,0,3,0,"5019",0,0,0,1041,0,0,0,1,0,0,501903,0,1,0,0,0,0,1,0,0,0,"May 2020",15,1,3,0,4
"SEMAPHORE SOUTH",0,0,0,0,0,0,"5019",0,0,0,1053,0,0,0,0,0,0,501904,0,0,0,0,0,0,0,1,0,0,"May 2020",1,0,0,0,0
"DUDLEY PARK",0,1,0,0,1,0,"5008",0,1,0,106,0,0,0,0,0,0,500804,0,1,0,0,0,0,0,0,0,0,"May 2020",6,1,0,0,1
"WEST LAKES SHORE",0,0,0,0,0,0,"5020",0,0,0,1065,0,0,1,0,0,0,502001,0,0,0,0,0,0,0,0,0,0,"May 2020",5,0,2,0,2
"WEST LAKES",0,1,0,0,0,0,"5021",0,1,0,1077,0,0,2,1,9,1,502101,0,1,0,0,0,2,0,0,1,0,"May 2020",22,0,3,0,0
"GRANGE",0,0,0,0,7,0,"5022",0,0,0,1089,0,1,2,0,0,0,502201,0,4,0,0,0,1,0,1,0,0,"May 2020",21,0,2,0,3
"HENLEY BEACH",0,1,0,0,1,0,"5022",0,1,0,1101,0,0,0,0,0,0,502202,0,1,0,0,1,2,0,0,0,0,"May 2020",12,1,4,0,0
"HENLEY BEACH SOUTH",0,0,0,0,1,0,"5022",0,0,0,1113,0,0,0,0,0,0,502203,0,2,0,0,0,0,1,0,0,0,"May 2020",5,0,0,0,1
"TENNYSON",0,1,0,0,0,0,"5022",0,0,0,1123,0,0,0,0,0,0,502204,0,0,0,0,0,0,0,0,0,0,"May 2020",1,0,0,0,0
"FINDON",0,1,0,0,1,0,"5023",0,1,0,1135,0,1,2,3,5,0,502301,0,3,0,0,1,2,1,0,0,0,"May 2020",30,0,5,0,4
"FINDON",0,0,0,0,0,0,"5023",0,0,0,1142,0,0,0,0,0,0,502301,0,0,0,0,0,0,1,0,0,0,"May 2020",1,0,0,0,0
"SEATON",0,1,0,0,4,0,"5023",0,0,1,1150,0,0,6,1,2,0,502302,0,10,0,0,0,1,1,0,1,0,"May 2020",48,2,5,0,13
"FULHAM",0,0,0,0,0,0,"5024",0,0,0,1162,0,0,0,0,1,0,502401,0,0,0,0,0,0,0,0,0,0,"May 2020",4,0,1,0,2
"FULHAM GARDENS",0,0,0,0,0,0,"5024",0,1,0,1174,0,0,1,0,1,0,502402,0,0,0,0,1,0,0,0,0,0,"May 2020",10,0,4,0,2
"RENOWN PARK",0,0,0,0,0,0,"5008",0,0,0,118,0,0,1,0,0,0,500805,0,0,0,0,0,0,0,0,0,0,"May 2020",8,3,2,0,2
"WEST BEACH",0,1,0,0,0,0,"5024",0,0,1,1187,0,0,0,0,0,0,502403,0,0,0,0,0,0,2,0,0,0,"May 2020",9,0,4,0,1
"FLINDERS PARK",0,0,0,0,3,0,"5025",0,0,0,1199,0,1,2,0,2,0,502501,0,2,0,0,1,0,0,0,0,0,"May 2020",16,0,2,0,3
"BROMPTON",0,1,0,0,8,1,"5007",0,1,0,1211,0,0,1,0,1,0,500702,0,1,0,0,1,1,2,0,0,0,"May 2020",30,1,1,0,10
"HINDMARSH",0,0,0,0,0,0,"5007",0,0,0,1223,0,1,1,0,0,0,500703,0,0,0,0,0,0,0,0,0,0,"May 2020",6,0,3,0,1
"NORTH PLYMPTON",0,0,0,0,2,0,"5037",0,0,0,1235,0,0,0,0,0,0,503704,0,0,0,0,0,0,0,0,0,0,"May 2020",5,0,2,0,1
"CAMDEN PARK",0,0,0,0,1,0,"5038",0,0,1,1247,0,0,0,1,7,0,503801,0,0,0,0,0,0,0,0,0,0,"May 2020",15,0,3,0,2
"PLYMPTON",0,0,0,1,3,0,"5038",0,1,0,1259,0,0,3,0,9,0,503802,0,1,0,0,0,2,1,0,1,0,"May 2020",30,0,5,0,3
