SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"DUDLEY PARK",0,0,0,0,0,0,"5008",0,1,0,101,0,0,1,0,0,1,500804,0,3,0,0,0,1,1,0,0,0,"Nov 2019",10,0,1,0,1
"EXETER",0,0,0,0,1,0,"5019",0,1,0,1011,0,0,1,0,4,0,501901,0,1,0,0,0,0,3,0,0,0,"Nov 2019",15,1,0,0,3
"SEMAPHORE",0,3,1,0,1,0,"5019",0,0,0,1023,0,0,0,3,2,0,501902,0,0,0,0,0,0,0,1,0,0,"Nov 2019",23,0,4,0,8
"SEMAPHORE PARK",0,3,0,0,6,0,"5019",0,0,0,1035,0,0,3,2,0,0,501903,0,3,0,0,1,3,1,1,1,0,"Nov 2019",39,0,3,0,12
"SEMAPHORE SOUTH",0,0,0,0,1,0,"5019",0,0,0,1047,0,0,2,0,0,0,501904,0,1,0,0,1,1,1,1,0,0,"Nov 2019",13,0,1,0,4
"WEST LAKES SHORE",0,0,0,0,1,0,"5020",0,0,0,1059,0,0,2,0,2,0,502001,0,0,0,0,0,1,2,0,0,0,"Nov 2019",10,0,2,0,0
"WEST LAKES",0,2,0,0,4,0,"5021",0,0,0,1071,0,0,0,0,15,1,502101,0,2,0,0,3,3,0,0,0,0,"Nov 2019",43,0,11,0,2
"GRANGE",0,3,0,0,0,3,"5022",0,3,1,1083,0,1,4,0,0,0,502201,0,1,0,0,1,2,1,0,0,0,"Nov 2019",33,1,10,0,2
"HENLEY BEACH",0,1,0,0,2,0,"5022",0,0,0,1095,0,0,4,3,1,0,502202,0,3,0,0,3,0,3,0,0,0,"Nov 2019",34,0,5,0,9
"HENLEY BEACH SOUTH",0,0,0,0,0,0,"5022",0,0,0,1107,0,0,0,0,0,0,502203,0,0,0,0,0,0,1,0,0,0,"Nov 2019",9,3,0,0,5
"TENNYSON",0,0,0,0,0,0,"5022",0,0,0,1119,0,0,4,0,0,1,502204,0,0,0,0,0,0,3,0,0,0,"Nov 2019",11,0,0,0,3
"RENOWN PARK",0,2,0,0,1,1,"5008",0,2,1,112,0,0,1,0,0,2,500805,0,3,0,0,0,0,2,2,0,0,"Nov 2019",21,0,2,0,2
"FINDON",0,0,0,0,10,0,"5023",0,2,0,1129,0,0,3,0,2,0,502301,0,6,0,0,0,2,2,0,1,0,"Nov 2019",47,2,9,0,8
"FINDON",0,0,0,0,0,0,"5023",0,0,0,1140,0,0,0,0,0,0,502301,0,0,0,0,0,0,0,0,0,0,"Nov 2019",1,0,0,0,1
"SEATON",0,0,0,0,4,0,"5023",0,1,0,1144,0,0,4,1,1,0,502302,0,7,0,1,1,1,4,0,2,0,"Nov 2019",60,0,12,0,21
"FULHAM",0,1,0,0,0,1,"5024",0,0,0,1156,0,0,0,0,2,0,502401,0,1,0,1,0,0,0,1,0,0,"Nov 2019",27,0,0,0,20
"FULHAM GARDENS",0,0,0,0,0,0,"5024",0,0,0,1168,0,0,2,0,4,1,502402,0,2,0,0,0,0,0,0,0,0,"Nov 2019",14,0,4,0,1
"WEST BEACH",0,0,0,0,1,0,"5024",0,0,0,1181,0,0,2,0,0,0,502403,0,1,0,0,0,0,1,0,0,0,"Nov 2019",10,0,4,0,1
"FLINDERS PARK",0,0,0,1,4,0,"5025",0,0,0,1193,0,0,2,0,0,2,502501,0,3,0,0,1,1,1,1,1,0,"Nov 2019",35,1,9,0,8
"BROMPTON",0,0,0,0,0,2,"5007",0,3,0,1205,0,0,3,0,0,0,500702,0,2,0,0,0,4,2,0,0,0,"Nov 2019",40,0,13,0,11
"HINDMARSH",0,0,0,0,1,1,"5007",0,0,0,1217,0,1,0,0,0,0,500703,0,1,0,0,0,4,0,0,0,0,"Nov 2019",13,1,3,0,1
"NORTH PLYMPTON",0,0,0,0,3,0,"5037",0,0,0,1229,0,0,3,1,0,0,503704,0,0,0,0,1,4,0,0,0,0,"Nov 2019",16,0,2,0,2
"RIDLEYTON",0,0,1,0,1,0,"5008",0,0,0,124,0,0,0,0,1,0,500806,0,0,0,0,1,0,0,0,0,0,"Nov 2019",9,1,3,0,1
"CAMDEN PARK",0,1,0,0,1,0,"5038",0,0,1,1241,0,0,3,0,1,0,503801,0,1,0,0,0,1,0,0,0,0,"Nov 2019",17,0,6,0,2
"PLYMPTON",0,0,0,0,3,0,"5038",0,1,0,1253,0,0,7,0,15,1,503802,0,1,0,1,0,2,2,0,0,0,"Nov 2019",57,2,19,0,3
"PLYMPTON PARK",0,1,2,0,4,0,"5038",0,0,0,1265,0,1,0,0,1,0,503803,0,4,0,0,0,1,1,0,0,0,"Nov 2019",23,2,3,0,3
"SOUTH PLYMPTON",0,0,0,0,1,1,"5038",0,1,0,1277,0,0,3,0,4,0,503804,0,1,0,0,0,0,2,2,0,0,"Nov 2019",23,1,5,0,2
"CLARENCE GARDENS",0,0,0,0,0,0,"5039",0,0,0,1289,0,2,0,0,0,0,503901,0,1,0,0,1,1,0,0,0,0,"Nov 2019",9,0,1,0,3
"MALVERN",0,0,0,0,5,0,"5061",0,0,0,1301,0,0,0,0,0,0,506102,0,0,0,0,1,1,0,0,0,0,"Nov 2019",7,0,0,0,0
"UNLEY",0,0,0,0,3,0,"5061",0,0,0,1313,0,1,1,0,1,0,506103,0,3,0,0,1,5,1,0,0,0,"Nov 2019",28,0,10,0,2
"UNLEY PARK",0,0,0,0,3,0,"5061",0,0,0,1324,0,0,1,0,0,0,506104,0,0,0,0,0,0,0,0,0,0,"Nov 2019",6,0,0,0,2
"HAWTHORN",0,0,0,0,3,0,"5062",0,0,0,1346,0,1,0,0,0,0,506203,0,0,0,0,1,1,0,0,0,0,"Nov 2019",13,1,4,0,2
"KINGSWOOD",0,0,0,0,2,0,"5062",0,0,0,1359,0,0,2,0,0,0,506204,0,1,0,0,0,0,0,0,0,0,"Nov 2019",10,0,5,0,0
"WEST CROYDON",0,0,0,0,2,0,"5008",0,1,0,136,0,0,0,0,2,0,500807,0,1,0,0,0,1,1,0,0,0,"Nov 2019",15,0,5,0,2
"GLENELG SOUTH",0,0,0,0,2,0,"5045",0,0,0,1371,0,0,0,0,0,0,504504,0,0,0,0,0,0,0,0,0,0,"Nov 2019",3,0,0,0,1
"OAKLANDS PARK",0,0,0,0,3,0,"5046",0,3,0,1382,0,2,1,2,57,1,504601,0,8,0,1,3,2,9,1,2,0,"Nov 2019",129,3,17,0,14
"COLONEL LIGHT GARDENS",0,0,0,0,0,0,"5041",0,0,0,1394,0,0,0,1,0,0,504101,0,0,0,0,0,2,0,0,0,0,"Nov 2019",6,0,2,0,1
"CUMBERLAND PARK",0,0,0,0,0,0,"5041",0,0,0,1406,0,0,0,0,3,0,504102,0,0,0,0,0,1,0,0,0,0,"Nov 2019",10,1,4,0,1
"DAW PARK",0,0,0,0,1,0,"5041",0,0,0,1418,0,0,0,0,0,0,504103,0,1,0,0,0,1,0,0,1,0,"Nov 2019",5,0,1,0,0
"PANORAMA",0,0,0,0,0,1,"5041",0,0,0,1430,0,0,2,0,0,0,504104,0,1,0,1,0,0,0,0,0,0,"Nov 2019",8,0,1,0,2
"WESTBOURNE PARK",0,0,0,0,2,0,"5041",0,0,0,1442,0,1,1,0,0,0,504105,0,0,0,0,0,0,0,0,0,0,"Nov 2019",8,0,4,0,0
"WARRADALE",0,0,0,0,1,0,"5046",0,1,0,1454,0,0,0,2,1,1,504602,0,1,0,0,0,2,1,0,0,0,"Nov 2019",14,0,1,0,3
"DARLINGTON",0,0,0,0,1,0,"5047",0,0,0,1466,0,0,2,0,2,1,504701,0,1,0,0,0,2,0,0,0,0,"Nov 2019",12,0,3,0,0
"SEACOMBE GARDENS",0,0,0,0,1,0,"5047",0,0,0,1478,0,0,1,2,0,0,504702,0,2,0,0,0,0,1,0,1,0,"Nov 2019",16,0,3,1,4
"ALLENBY GARDENS",0,0,0,0,1,0,"5009",0,0,0,148,0,0,0,0,1,0,500901,0,1,0,0,0,0,0,0,0,0,"Nov 2019",5,0,0,0,2
"SEACOMBE HEIGHTS",0,0,0,0,0,0,"5047",0,0,0,1490,0,0,0,0,0,0,504703,0,1,0,0,0,0,0,0,0,0,"Nov 2019",2,0,0,0,1
"ADELAIDE",0,23,1,0,19,2,"5000",0,18,2,15,0,8,5,45,106,3,500001,0,41,0,2,24,14,16,1,5,0,"Nov 2019",593,16,156,0,86
"STURT",0,0,0,0,3,0,"5047",0,1,0,1502,0,0,2,0,0,0,504704,0,0,0,0,0,1,2,0,0,0,"Nov 2019",13,0,0,0,4
"BRIGHTON",0,0,0,1,1,0,"5048",0,0,0,1514,0,0,7,0,4,0,504801,0,2,0,1,1,3,1,0,1,0,"Nov 2019",42,7,8,0,5
"DOVER GARDENS",0,1,0,0,0,0,"5048",0,1,0,1526,0,0,4,0,0,0,504802,0,0,0,0,0,0,0,0,0,0,"Nov 2019",12,1,1,0,4
