SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"EXETER",0,0,0,0,1,0,"5019",0,0,0,1012,0,0,0,0,1,0,501901,0,2,0,0,0,1,0,0,0,0,"Oct 2019",7,0,2,0,0
"DUDLEY PARK",0,0,0,0,1,0,"5008",0,0,0,102,0,0,2,0,0,0,500804,0,0,0,0,0,0,0,0,0,0,"Oct 2019",5,0,0,0,2
"SEMAPHORE",0,1,0,1,0,0,"5019",0,1,0,1024,0,0,2,2,1,0,501902,0,1,0,0,0,2,1,1,0,0,"Oct 2019",19,0,4,0,2
"SEMAPHORE PARK",0,1,1,0,7,0,"5019",0,0,0,1036,0,0,2,1,1,1,501903,0,6,0,0,0,0,0,0,1,0,"Oct 2019",32,2,5,0,4
"SEMAPHORE SOUTH",0,0,0,0,3,0,"5019",0,0,0,1048,0,0,1,2,0,0,501904,0,0,0,0,0,1,0,0,1,0,"Oct 2019",12,0,3,0,1
"WEST LAKES SHORE",0,0,0,0,2,0,"5020",0,0,0,1060,0,0,0,1,0,0,502001,0,1,0,0,0,1,0,0,0,0,"Oct 2019",9,0,3,0,1
"WEST LAKES",0,1,0,0,7,0,"5021",0,0,0,1072,0,0,0,4,11,0,502101,0,1,0,0,1,1,0,0,1,0,"Oct 2019",40,1,10,0,2
"GRANGE",0,1,0,0,4,0,"5022",0,0,0,1084,0,0,4,3,0,0,502201,0,1,0,0,0,2,1,0,0,0,"Oct 2019",21,0,3,0,2
"HENLEY BEACH",0,0,1,0,3,1,"5022",0,0,0,1096,0,1,1,2,4,0,502202,0,1,0,0,0,1,0,0,0,0,"Oct 2019",26,1,3,0,7
"HENLEY BEACH SOUTH",0,0,0,0,0,0,"5022",0,0,0,1108,0,0,0,0,0,0,502203,0,0,0,0,0,1,0,0,0,0,"Oct 2019",2,0,0,0,1
"TENNYSON",0,0,0,0,1,0,"5022",0,0,0,1120,0,0,0,2,0,0,502204,0,1,0,0,0,0,0,0,0,0,"Oct 2019",4,0,0,0,0
"RENOWN PARK",0,1,0,0,2,0,"5008",0,0,1,113,0,0,8,1,1,0,500805,0,0,0,0,0,0,3,0,0,0,"Oct 2019",24,0,5,0,2
"FINDON",0,2,0,0,9,0,"5023",0,2,0,1130,0,0,2,2,7,0,502301,0,4,0,0,2,0,2,0,0,0,"Oct 2019",44,1,9,0,2
"SEATON",0,2,1,0,14,4,"5023",0,1,0,1145,0,0,6,2,1,2,502302,0,6,0,1,2,1,4,3,0,0,"Oct 2019",85,5,11,0,19
"FULHAM",0,0,0,0,0,0,"5024",0,0,0,1157,0,0,0,1,1,0,502401,0,0,0,0,0,1,0,0,0,0,"Oct 2019",10,0,2,0,5
"FULHAM GARDENS",0,1,0,0,2,0,"5024",0,0,0,1169,0,0,1,1,1,0,502402,0,0,0,0,0,0,0,0,0,0,"Oct 2019",14,2,4,0,2
"WEST BEACH",0,0,0,0,4,3,"5024",0,0,0,1182,0,0,1,1,0,0,502403,0,2,0,1,1,1,0,0,1,0,"Oct 2019",23,0,5,0,3
"FLINDERS PARK",0,0,0,0,6,0,"5025",0,0,0,1194,0,0,2,1,1,0,502501,0,0,0,0,1,0,0,0,0,0,"Oct 2019",26,1,11,0,3
"BROMPTON",0,0,0,1,8,0,"5007",0,4,0,1206,0,0,5,2,8,2,500702,0,4,0,0,0,0,2,1,0,0,"Oct 2019",57,1,17,0,2
"HINDMARSH",0,0,0,1,9,1,"5007",0,0,0,1218,0,0,0,1,0,0,500703,0,0,0,0,0,2,0,0,0,0,"Oct 2019",24,0,3,0,7
"NORTH PLYMPTON",0,0,0,0,5,0,"5037",0,0,0,1230,0,1,3,0,0,0,503704,0,1,0,0,0,0,0,0,0,0,"Oct 2019",16,0,5,0,1
"CAMDEN PARK",0,0,0,0,8,1,"5038",0,0,0,1242,0,0,2,0,1,0,503801,0,2,0,0,0,0,2,0,1,0,"Oct 2019",27,1,3,0,6
"RIDLEYTON",0,0,0,0,1,0,"5008",0,1,0,125,0,0,3,0,3,0,500806,0,0,0,0,1,0,2,0,0,0,"Oct 2019",19,0,7,0,1
"PLYMPTON",0,1,0,0,4,0,"5038",1,0,0,1254,0,0,2,0,10,0,503802,0,0,0,0,1,4,1,0,0,0,"Oct 2019",51,1,22,0,4
"PLYMPTON PARK",0,0,0,0,4,0,"5038",0,0,1,1266,0,0,5,0,0,0,503803,0,0,0,0,0,3,0,0,0,0,"Oct 2019",16,0,1,0,2
"SOUTH PLYMPTON",0,0,0,0,1,0,"5038",0,0,0,1278,0,0,2,1,4,0,503804,0,0,0,0,0,0,1,0,0,0,"Oct 2019",22,0,8,0,5
"CLARENCE GARDENS",0,0,0,1,1,0,"5039",0,0,0,1290,0,0,3,1,1,0,503901,0,0,0,0,1,1,0,0,0,0,"Oct 2019",13,0,3,0,1
"ADELAIDE",0,0,0,0,0,0,"5000",0,0,0,13,0,0,0,0,0,0,500001,0,0,0,0,0,0,0,0,0,0,"Oct 2019",1,0,1,0,0
"MALVERN",0,0,0,0,3,0,"5061",0,0,0,1302,0,0,2,1,0,1,506102,0,0,0,0,4,0,0,0,0,0,"Oct 2019",11,0,0,0,0
"UNLEY",0,0,0,0,5,0,"5061",0,0,0,1314,0,0,0,0,8,0,506103,0,0,0,0,0,2,1,0,0,0,"Oct 2019",31,0,12,0,3
"UNLEY PARK",0,0,0,0,3,0,"5061",0,0,0,1325,0,0,0,0,0,0,506104,0,0,0,0,0,0,0,0,0,0,"Oct 2019",7,0,3,0,1
