rows/key/0,rows/key/1,rows/value
Australian Capital Territory (Canberra),de,1
Australian Capital Territory (Canberra),en,1112
Australian Capital Territory (Canberra),es,21
Australian Capital Territory (Canberra),in,2
Australian Capital Territory (Canberra),tl,2
Greater Adelaide,en,3889
Greater Adelaide,es,21
Greater Adelaide,ht,2
Greater Adelaide,in,8
Greater Adelaide,it,1
Greater Adelaide,ja,4
Greater Adelaide,nl,1
Greater Adelaide,sv,1
Greater Adelaide,th,4
Greater Adelaide,tl,6
Greater Adelaide,und,6
Greater Brisbane,ca,1
Greater Brisbane,da,4
Greater Brisbane,en,8584
Greater Brisbane,es,43
Greater Brisbane,et,3
Greater Brisbane,fr,3
Greater Brisbane,ht,3
Greater Brisbane,in,18
Greater Brisbane,is,1
Greater Brisbane,it,2
Greater Brisbane,ko,1
Greater Brisbane,lv,1
Greater Brisbane,ml,2
Greater Brisbane,nl,4
Greater Brisbane,no,1
Greater Brisbane,pt,10
Greater Brisbane,sv,5
Greater Brisbane,th,1
Greater Brisbane,tl,47
Greater Brisbane,und,6
Greater Darwin,en,328
Greater Darwin,tl,2
Greater Hobart,en,585
Greater Hobart,es,1
Greater Hobart,fr,1
Greater Hobart,sv,3
Greater Hobart,tl,4
Greater Melbourne,ar,4
Greater Melbourne,ca,2
Greater Melbourne,cs,2
Greater Melbourne,da,3
Greater Melbourne,el,2
Greater Melbourne,en,20728
Greater Melbourne,es,71
Greater Melbourne,et,1
Greater Melbourne,fa,1
Greater Melbourne,fr,10
Greater Melbourne,hi,3
Greater Melbourne,ht,9
Greater Melbourne,hu,1
Greater Melbourne,in,30
Greater Melbourne,it,2
Greater Melbourne,ja,16
Greater Melbourne,lv,4
Greater Melbourne,ne,1
Greater Melbourne,nl,3
Greater Melbourne,no,3
Greater Melbourne,pl,3
Greater Melbourne,pt,4
Greater Melbourne,ro,4
Greater Melbourne,ru,2
Greater Melbourne,sv,2
Greater Melbourne,th,1
Greater Melbourne,tl,42
Greater Melbourne,tr,11
Greater Melbourne,und,28
Greater Melbourne,zh,9
Greater Perth,de,2
Greater Perth,en,4964
Greater Perth,es,4
Greater Perth,fr,3
Greater Perth,ht,1
Greater Perth,hu,1
Greater Perth,in,4
Greater Perth,ja,1
Greater Perth,nl,2
Greater Perth,pt,8
Greater Perth,si,1
Greater Perth,sv,1
Greater Perth,th,1
Greater Perth,tl,19
Greater Perth,und,3
Greater Perth,zh,1
Greater Sydney,ar,1
Greater Sydney,ca,1
Greater Sydney,cs,3
Greater Sydney,da,2
Greater Sydney,de,5
Greater Sydney,el,2
Greater Sydney,en,18665
Greater Sydney,es,55
Greater Sydney,et,7
Greater Sydney,fa,1
Greater Sydney,fr,7
Greater Sydney,hi,4
Greater Sydney,ht,7
Greater Sydney,hu,2
Greater Sydney,in,16
Greater Sydney,is,1
Greater Sydney,it,2
Greater Sydney,ja,8
Greater Sydney,ko,1
Greater Sydney,lv,1
Greater Sydney,nl,6
Greater Sydney,pl,7
Greater Sydney,pt,24
Greater Sydney,ro,2
Greater Sydney,ru,2
Greater Sydney,sv,4
Greater Sydney,th,4
Greater Sydney,tl,52
Greater Sydney,tr,1
Greater Sydney,und,4
Greater Sydney,zh,13
