rows/key/0,rows/key/1,rows/value
Australian Capital Territory (Canberra),anal,2
Australian Capital Territory (Canberra),arsehole,5
Australian Capital Territory (Canberra),ass,43
Australian Capital Territory (Canberra),asshole,4
Australian Capital Territory (Canberra),bastard,13
Australian Capital Territory (Canberra),bitch,20
Australian Capital Territory (Canberra),bitches,5
Australian Capital Territory (Canberra),blowjob,1
Australian Capital Territory (Canberra),bollocks,1
Australian Capital Territory (Canberra),bondage,1
Australian Capital Territory (Canberra),boner,2
Australian Capital Territory (Canberra),boob,1
Australian Capital Territory (Canberra),boobs,4
Australian Capital Territory (Canberra),bullshit,52
Australian Capital Territory (Canberra),butt,8
Australian Capital Territory (Canberra),cock,10
Australian Capital Territory (Canberra),concha,1
Australian Capital Territory (Canberra),cum,4
Australian Capital Territory (Canberra),cumming,1
Australian Capital Territory (Canberra),cunt,27
Australian Capital Territory (Canberra),dick,18
Australian Capital Territory (Canberra),dildo,4
Australian Capital Territory (Canberra),domination,1
Australian Capital Territory (Canberra),Drogas,1
Australian Capital Territory (Canberra),escort,3
Australian Capital Territory (Canberra),fag,1
Australian Capital Territory (Canberra),faggot,1
Australian Capital Territory (Canberra),fecal,2
Australian Capital Territory (Canberra),fuck,98
Australian Capital Territory (Canberra),fuckin,40
Australian Capital Territory (Canberra),fucking,105
Australian Capital Territory (Canberra),genitals,7
Australian Capital Territory (Canberra),hardcore,5
Australian Capital Territory (Canberra),hooker,1
Australian Capital Territory (Canberra),horny,13
Australian Capital Territory (Canberra),humping,2
Australian Capital Territory (Canberra),infierno,1
Australian Capital Territory (Canberra),intercourse,2
Australian Capital Territory (Canberra),kinky,4
Australian Capital Territory (Canberra),lolita,1
Australian Capital Territory (Canberra),maldito,2
Australian Capital Territory (Canberra),Nazi,5
Australian Capital Territory (Canberra),negro,2
Australian Capital Territory (Canberra),nigga,1
Australian Capital Territory (Canberra),nipple,1
Australian Capital Territory (Canberra),nipples,5
Australian Capital Territory (Canberra),nude,2
Australian Capital Territory (Canberra),nudity,1
Australian Capital Territory (Canberra),orgasm,3
Australian Capital Territory (Canberra),paedophile,3
Australian Capital Territory (Canberra),panties,2
Australian Capital Territory (Canberra),panty,1
