rows/key/0,rows/key/1,rows/value
Australian Capital Territory (Canberra),ar,143
Australian Capital Territory (Canberra),art,76
Australian Capital Territory (Canberra),bg,3
Australian Capital Territory (Canberra),bn,2
Australian Capital Territory (Canberra),ca,123
Australian Capital Territory (Canberra),cs,6
Australian Capital Territory (Canberra),cy,24
Australian Capital Territory (Canberra),da,20
Australian Capital Territory (Canberra),de,81
Australian Capital Territory (Canberra),el,1
Australian Capital Territory (Canberra),en,50705
Australian Capital Territory (Canberra),es,5188
Australian Capital Territory (Canberra),et,81
Australian Capital Territory (Canberra),eu,36
Australian Capital Territory (Canberra),fa,23
Australian Capital Territory (Canberra),fi,46
Australian Capital Territory (Canberra),fr,207
Australian Capital Territory (Canberra),hi,109
Australian Capital Territory (Canberra),ht,49
Australian Capital Territory (Canberra),hu,18
Australian Capital Territory (Canberra),in,809
Australian Capital Territory (Canberra),is,16
Australian Capital Territory (Canberra),it,92
Australian Capital Territory (Canberra),iw,3
Australian Capital Territory (Canberra),ja,792
Australian Capital Territory (Canberra),ko,4
Australian Capital Territory (Canberra),lt,15
Australian Capital Territory (Canberra),lv,6
Australian Capital Territory (Canberra),ne,8
Australian Capital Territory (Canberra),nl,138
Australian Capital Territory (Canberra),no,27
Australian Capital Territory (Canberra),pa,2
Australian Capital Territory (Canberra),pl,32
Australian Capital Territory (Canberra),pt,133
Australian Capital Territory (Canberra),qam,81
Australian Capital Territory (Canberra),qht,44
Australian Capital Territory (Canberra),qme,331
Australian Capital Territory (Canberra),qst,25
Australian Capital Territory (Canberra),ro,23
Australian Capital Territory (Canberra),ru,14
Australian Capital Territory (Canberra),sl,5
Australian Capital Territory (Canberra),sr,11
Australian Capital Territory (Canberra),sv,30
Australian Capital Territory (Canberra),th,19
Australian Capital Territory (Canberra),tl,262
Australian Capital Territory (Canberra),tr,35
Australian Capital Territory (Canberra),uk,6
Australian Capital Territory (Canberra),und,4150
Australian Capital Territory (Canberra),ur,378
Australian Capital Territory (Canberra),vi,4
Australian Capital Territory (Canberra),zh,252
Australian Capital Territory (Canberra),zxx,219
Greater Adelaide,ar,382
Greater Adelaide,art,158
Greater Adelaide,bg,5
Greater Adelaide,ca,62
Greater Adelaide,cs,28
Greater Adelaide,cy,123
Greater Adelaide,da,75
Greater Adelaide,de,146
Greater Adelaide,el,14
Greater Adelaide,en,124927
Greater Adelaide,es,2523
Greater Adelaide,et,194
Greater Adelaide,eu,64
Greater Adelaide,fa,99
Greater Adelaide,fi,43
Greater Adelaide,fr,504
Greater Adelaide,gu,2
Greater Adelaide,hi,255
Greater Adelaide,ht,135
Greater Adelaide,hu,46
Greater Adelaide,in,1204
Greater Adelaide,is,20
Greater Adelaide,it,281
Greater Adelaide,iw,6
Greater Adelaide,ja,2680
Greater Adelaide,ko,316
Greater Adelaide,lt,36
Greater Adelaide,lv,15
Greater Adelaide,mr,4
Greater Adelaide,ne,176
Greater Adelaide,nl,118
Greater Adelaide,no,92
Greater Adelaide,pa,2
Greater Adelaide,pl,89
Greater Adelaide,pt,367
Greater Adelaide,qam,220
Greater Adelaide,qct,1
Greater Adelaide,qht,79
Greater Adelaide,qme,1750
Greater Adelaide,qst,70
Greater Adelaide,ro,51
Greater Adelaide,ru,21
Greater Adelaide,sd,2
Greater Adelaide,si,12
Greater Adelaide,sl,25
Greater Adelaide,sv,268
Greater Adelaide,th,1241
Greater Adelaide,tl,843
Greater Adelaide,tr,128
Greater Adelaide,uk,4
Greater Adelaide,und,13469
Greater Adelaide,ur,385
Greater Adelaide,vi,37
Greater Adelaide,zh,276
Greater Adelaide,zxx,645
Greater Brisbane,am,1
Greater Brisbane,ar,1251
Greater Brisbane,art,475
Greater Brisbane,bg,2
Greater Brisbane,bn,4
Greater Brisbane,ca,141
Greater Brisbane,ckb,1
Greater Brisbane,cs,45
Greater Brisbane,cy,165
Greater Brisbane,da,220
Greater Brisbane,de,510
Greater Brisbane,el,4
Greater Brisbane,en,238212
Greater Brisbane,es,3707
Greater Brisbane,et,276
Greater Brisbane,eu,100
Greater Brisbane,fa,839
Greater Brisbane,fi,45
Greater Brisbane,fr,992
Greater Brisbane,gu,2
Greater Brisbane,hi,280
Greater Brisbane,ht,266
Greater Brisbane,hu,45
Greater Brisbane,hy,1
Greater Brisbane,in,3560
Greater Brisbane,is,46
Greater Brisbane,it,298
Greater Brisbane,iw,31
Greater Brisbane,ja,8320
Greater Brisbane,ko,552
Greater Brisbane,lt,61
Greater Brisbane,lv,44
Greater Brisbane,ml,24
Greater Brisbane,mr,3
Greater Brisbane,ne,153
Greater Brisbane,nl,344
Greater Brisbane,no,587
Greater Brisbane,pa,13
Greater Brisbane,pl,169
Greater Brisbane,pt,1840
Greater Brisbane,qam,1026
Greater Brisbane,qct,1
Greater Brisbane,qht,386
Greater Brisbane,qme,2670
Greater Brisbane,qst,135
Greater Brisbane,ro,97
Greater Brisbane,ru,119
Greater Brisbane,si,255
Greater Brisbane,sl,31
Greater Brisbane,sv,155
Greater Brisbane,ta,5
Greater Brisbane,te,1
Greater Brisbane,th,1292
Greater Brisbane,tl,2920
Greater Brisbane,tr,465
Greater Brisbane,uk,1
Greater Brisbane,und,28505
Greater Brisbane,ur,1192
Greater Brisbane,vi,55
Greater Brisbane,zh,588
Greater Brisbane,zxx,1892
Greater Darwin,ar,2
Greater Darwin,art,28
Greater Darwin,ca,23
Greater Darwin,cy,14
Greater Darwin,da,4
Greater Darwin,de,23
Greater Darwin,el,3
Greater Darwin,en,14851
Greater Darwin,es,43
Greater Darwin,et,11
Greater Darwin,eu,8
Greater Darwin,fa,1
Greater Darwin,fi,5
Greater Darwin,fr,46
Greater Darwin,hi,16
Greater Darwin,ht,14
Greater Darwin,in,42
Greater Darwin,is,2
Greater Darwin,it,12
Greater Darwin,ja,32
Greater Darwin,ko,1
Greater Darwin,lt,6
Greater Darwin,lv,2
Greater Darwin,nl,7
Greater Darwin,no,7
Greater Darwin,pl,3
Greater Darwin,pt,8
Greater Darwin,qam,17
Greater Darwin,qht,31
Greater Darwin,qme,60
Greater Darwin,qst,9
Greater Darwin,ro,3
Greater Darwin,sv,11
Greater Darwin,th,31
Greater Darwin,tl,125
Greater Darwin,tr,4
Greater Darwin,und,3784
Greater Darwin,vi,4
Greater Darwin,zh,7
Greater Darwin,zxx,63
Greater Hobart,ar,1
Greater Hobart,art,36
Greater Hobart,ca,13
Greater Hobart,cs,6
Greater Hobart,cy,11
Greater Hobart,da,11
Greater Hobart,de,63
Greater Hobart,en,30370
Greater Hobart,es,168
Greater Hobart,et,33
Greater Hobart,eu,17
Greater Hobart,fa,12
Greater Hobart,fi,5
Greater Hobart,fr,84
Greater Hobart,hi,72
Greater Hobart,ht,38
Greater Hobart,hu,5
Greater Hobart,in,877
Greater Hobart,is,1
Greater Hobart,it,36
Greater Hobart,ja,198
Greater Hobart,ko,11
Greater Hobart,lt,21
Greater Hobart,lv,3
Greater Hobart,ne,23
Greater Hobart,nl,47
Greater Hobart,no,12
Greater Hobart,pl,6
Greater Hobart,pt,43
Greater Hobart,qam,33
Greater Hobart,qht,16
Greater Hobart,qme,242
Greater Hobart,qst,9
Greater Hobart,ro,4
Greater Hobart,sl,1
Greater Hobart,sv,230
Greater Hobart,th,9
Greater Hobart,tl,3692
Greater Hobart,tr,17
Greater Hobart,und,3317
Greater Hobart,ur,18
Greater Hobart,vi,1
Greater Hobart,zh,84
Greater Hobart,zxx,102
Greater Melbourne,am,5
Greater Melbourne,ar,3555
Greater Melbourne,art,1685
Greater Melbourne,bg,2
Greater Melbourne,bn,19
Greater Melbourne,ca,388
Greater Melbourne,cs,198
Greater Melbourne,cy,373
Greater Melbourne,da,336
Greater Melbourne,de,882
Greater Melbourne,el,2442
Greater Melbourne,en,578112
Greater Melbourne,es,10685
Greater Melbourne,et,1032
Greater Melbourne,eu,242
Greater Melbourne,fa,3283
Greater Melbourne,fi,199
Greater Melbourne,fr,2182
Greater Melbourne,gu,3
Greater Melbourne,hi,1600
Greater Melbourne,ht,829
Greater Melbourne,hu,205
Greater Melbourne,in,7627
Greater Melbourne,is,121
Greater Melbourne,it,906
Greater Melbourne,iw,85
Greater Melbourne,ja,14632
Greater Melbourne,ka,1
Greater Melbourne,ko,205
Greater Melbourne,lt,198
Greater Melbourne,lv,137
Greater Melbourne,ml,15
Greater Melbourne,mr,2
Greater Melbourne,my,3
Greater Melbourne,ne,303
Greater Melbourne,nl,779
Greater Melbourne,no,464
Greater Melbourne,pa,374
Greater Melbourne,pl,445
Greater Melbourne,ps,45
Greater Melbourne,pt,1673
Greater Melbourne,qam,1026
Greater Melbourne,qht,705
Greater Melbourne,qme,6998
Greater Melbourne,qst,421
Greater Melbourne,ro,357
Greater Melbourne,ru,133
Greater Melbourne,sd,7
Greater Melbourne,si,88
Greater Melbourne,sl,91
Greater Melbourne,sr,4
Greater Melbourne,sv,296
Greater Melbourne,ta,54
Greater Melbourne,te,91
Greater Melbourne,th,3273
Greater Melbourne,tl,4487
Greater Melbourne,tr,2423
Greater Melbourne,uk,302
Greater Melbourne,und,63456
Greater Melbourne,ur,2439
Greater Melbourne,vi,79
Greater Melbourne,zh,7369
Greater Melbourne,zxx,2414
Greater Perth,ar,2130
Greater Perth,art,380
Greater Perth,bg,2
Greater Perth,bn,25
Greater Perth,ca,89
Greater Perth,cs,32
Greater Perth,cy,167
Greater Perth,da,80
Greater Perth,de,270
Greater Perth,el,17
Greater Perth,en,162565
Greater Perth,es,1229
Greater Perth,et,284
Greater Perth,eu,57
Greater Perth,fa,105
Greater Perth,fi,62
Greater Perth,fr,541
Greater Perth,gu,1
Greater Perth,hi,379
Greater Perth,ht,224
Greater Perth,hu,39
Greater Perth,in,1624
Greater Perth,is,29
Greater Perth,it,254
Greater Perth,iw,4
Greater Perth,ja,3825
Greater Perth,ka,2
Greater Perth,ko,100
Greater Perth,lt,59
Greater Perth,lv,37
Greater Perth,mr,1
Greater Perth,my,4
Greater Perth,ne,314
Greater Perth,nl,197
Greater Perth,no,146
Greater Perth,pa,10
Greater Perth,pl,115
Greater Perth,pt,1944
Greater Perth,qam,240
Greater Perth,qct,3
Greater Perth,qht,144
Greater Perth,qme,1653
Greater Perth,qst,126
Greater Perth,ro,94
Greater Perth,ru,41
Greater Perth,si,286
Greater Perth,sl,14
Greater Perth,sr,1
Greater Perth,sv,126
Greater Perth,ta,145
Greater Perth,te,3
Greater Perth,th,1132
Greater Perth,tl,2280
Greater Perth,tr,143
Greater Perth,uk,10
Greater Perth,und,16411
Greater Perth,ur,267
Greater Perth,vi,19
Greater Perth,zh,7578
Greater Perth,zxx,849
Greater Sydney,am,1
Greater Sydney,ar,14000
Greater Sydney,art,1363
Greater Sydney,bg,72
Greater Sydney,bn,37
Greater Sydney,ca,534
Greater Sydney,ckb,2
Greater Sydney,cs,229
Greater Sydney,cy,503
Greater Sydney,da,394
